X,Y,Natural_disaster,Name_of_area,date
466564.39,9215997.1,Flood,Perumahan Dinar Indah,6-Jan-23
467869.77,9216047.89,Flood,Perumahan Griya Rowosari Permai,6-Jan-23
467640.45,9215970.61,Flood,Grand Permata Rowosari Tembalang,6-Jan-23
466757.78,9215594.34,Flood,Perumahan Argo Recident Blok A Kel. Rowosari,6-Jan-23
466647.69,9215137.95,Flood,"Jl. Kedungsari Raya, Rowosari",6-Jan-23
466801.35,9220490.77,Flood,"Jl. Sinar Waluyo Raya, Kedungmundu",6-Jan-23
467392.21,9207678.02,Flood,"Jl. Sinar Mas Raya, Kedungmundu",6-Jan-23
467808.96,9205744.11,Flood,Klipang RT 1 RW 1 Sendangmulyo,6-Jan-23
466940.4,9205841.07,Flood,RT 10 RW 18 Sendangmulyo,6-Jan-23
469328.71,9222019.23,Flood,Jl. Kyai Morang,6-Jan-23
466786.53,9220617.93,Flood,"Jl. Fatmawati, Pedurungan",6-Jan-23
465066.07,9222298.66,Flood,"RT 10 RW 02 Sendangguwo, Gayamsari",6-Jan-23
469634.34,9225125.79,Flood,Kelurahan Sembungharjo,6-Jan-23
462810.16,9226793.59,Flood,Jl. Pemali Citarum,2-Feb-23
464220.59,9225296.84,Flood,Kelurahan Siwalan,2-Feb-23
463113.62,9225385.49,Flood,"Tirtoyoso X, Semarang Timur",2-Feb-23
462246.51,9225832.32,Flood,kp. Gebang Anom samping Pasar Dargo Kec. Semarang Timur,2-Feb-23
465091.26,9224392.74,Flood,Wilayah Kelurahan Tlogosari Kulon,2-Feb-23
462658.74,9227511.23,Flood,Jl. Pengapon Kecamatan Semarang Timur,2-Feb-23
463056.84,9227872.48,Flood,RT 4 RW 3 Kelurahan Kemijen,2-Feb-23
463354.89,9228144.57,Flood,RT 1 RW 2 Kelurahan Purwosari,2-Feb-23
463135.59,9227088.08,Flood,Rw. VII & Rw. VIII Kel. Mlatibaru,2-Feb-23
463490.69,9226306.91,Flood,Tambakdalam Kelurahan Sawah Besar,2-Feb-23
462311.96,9227189.65,Flood,Kelurahan Rejomulyo,2-Feb-23
467006.18,9227011,Flood,Kelurahan Genuksari,2-Feb-23
465496.06,9228126.96,Flood,Depan RSI Sultan Agung,2-Feb-23
464390.43,9228015.68,Flood,Bawah tol kaligawe,2-Feb-23
465055.25,9226325.75,Flood,Dempel  Kelurahan Muktiharjo Kidul,2-Feb-23
464206.17,9225873.34,Flood,Karangingas Kelurahan Muktiharjo Kidul,2-Feb-23
462642.48,9206173.2,Flood,Perumahan Pondok Jangli Indah RT 8 RW 1,2-Feb-23
466750.6,9215889.37,Flood,Dinar Indah blok7 RT 06 RW 26 Meteseh Tembalang,31-Jan-23
467640.45,9215970.61,Flood,Rowosari Tembalang,31-Jan-23
466750.6,9215889.37,Flood,Jl. Cluster Dinar Indah Blok 7 RT06 /26 Kel. Meteseh Kec. Tembalang Kota Semarang,2-Dec-20
463770.21,9221032.54,Flood,Jl. Kaba Raya Kel. Tandang Kec. Tembalang,18-Dec-20
450560.83,9225587.21,Flood,Kel. Wonosari Kulon RT01/03 kec. Ngaliyan Kota Semarang,8-Jan-21
448349.53,9226716.48,Flood,Mangkang kulon RT01/03 Kec. Tugu Kota Semarang,8-Jan-21
466750.6,9215889.37,Flood,Jl. Cluster Dinar Indah Blok 7 RT06 /26 Kel. Meteseh Kec. Tembalang Kota Semarang,17-Jan-21
464312.42,9225535.15,Flood,Jl. Soekarno – Hatta (bawah terowongan tol),18-Feb-22
459796.64,9223382.72,Flood,Jl. Kintelan Baru,18-Feb-22
450336.56,9226113.68,Flood,Jl. Walisongo (depan Kelurahan Wonosari) s.d Pabrik Sango,18-Feb-22
449343.89,9226011.66,Flood,"Kel. Wonosari Kec. Ngaliyan (Rt 03, 05, 06 Rw 07)",18-Feb-22
449363.87,9226174.52,Flood,Kel. Wonosari Kec. Ngaliyan(Rt 01 s/d 06 Rw 05 serta Rt 02 s/d 04 Rw 06),18-Feb-22
449444.64,9226334.8,Flood,Kel. Mangkang Wetan Kec. Tugu Kota Semarang,18-Feb-22
448349.53,9226494.67,Flood,"Kel. Mangkang Kulon Kec. Tugu Kota Semarang (Rt 01 s/d 07 Rw 01 dan Rt 01, 02 Rw 02)",18-Feb-22
450211.59,9228154.55,Flood,"Kel. Mangunharjo Kec. Tugu Kota Semarang (Rt 04, 05 Rw 05)(Rt 01, 02, 03 Rw 01 dan Rt 01 s/d 06 Rw 04)",18-Feb-22
