X,Y,Natural_disaster,Name_of_area,date,lon,lat
466564.39,9215997.1,Flood,Perumahan Dinar Indah,1/6/23,110.4686475,-7.065159063
467869.77,9216047.89,Flood,Perumahan Griya Rowosari Permai,1/6/23,110.4786111,-7.06194444
467640.45,9215970.61,Flood,Grand Permata Rowosari Tembalang,1/6/23,110.4760336,-7.063917435
466757.78,9215594.34,Flood,Perumahan Argo Recident Blok A Kel. Rowosari,1/6/23,110.4688279,-7.067206857
466647.69,9215137.95,Flood,"Jl. Kedungsari Raya, Rowosari",1/6/23,110.4677833,-7.071519976
466801.35,9220490.77,Flood,"Jl. Sinar Waluyo Raya, Kedungmundu",1/6/23,110.4710905,-7.0248158
467392.21,9207678.02,Flood,"Jl. Sinar Mas Raya, Kedungmundu",1/6/23,110.4743817,-7.025817034
467808.96,9205744.11,Flood,Klipang RT 1 RW 1 Sendangmulyo,1/6/23,110.4795992,-7.053545047
466940.4,9205841.07,Flood,RT 10 RW 18 Sendangmulyo,1/6/23,110.470734,-7.041575993
469328.71,9222019.23,Flood,Jl. Kyai Morang,1/6/23,110.4927945,-7.011125874
466786.53,9220617.93,Flood,"Jl. Fatmawati, Pedurungan",1/6/23,110.4690205,-7.022670131
465066.07,9222298.66,Flood,"RT 10 RW 02 Sendangguwo, Gayamsari",1/6/23,110.4546398,-7.009579003
469634.34,9225125.79,Flood,Kelurahan Sembungharjo,1/6/23,110.4900786,-6.978045856
462810.16,9226793.59,Flood,Jl. Pemali Citarum,2/2/23,110.4373616,-6.968063246
464220.59,9225296.84,Flood,Kelurahan Siwalan,2/2/23,110.4502105,-6.983376101
463113.62,9225385.49,Flood,"Tirtoyoso X, Semarang Timur",2/2/23,110.4404493,-6.980653844
462246.51,9225832.32,Flood,kp. Gebang Anom samping Pasar Dargo Kec. Semarang Timur,2/2/23,110.432901,-6.976697047
465091.26,9224392.74,Flood,Wilayah Kelurahan Tlogosari Kulon,2/2/23,110.4602079,-6.984038245
462658.74,9227511.23,Flood,Jl. Pengapon Kecamatan Semarang Timur,2/2/23,110.4361347,-6.961460087
463056.84,9227872.48,Flood,RT 4 RW 3 Kelurahan Kemijen,2/2/23,110.435813,-6.956260014
463354.89,9228144.57,Flood,RT 1 RW 2 Kelurahan Purwosari,2/2/23,110.4129196,-6.969408127
463135.59,9227088.08,Flood,Rw. VII & Rw. VIII Kel. Mlatibaru,2/2/23,110.4382281,-6.964733741
463490.69,9226306.91,Flood,Tambakdalam Kelurahan Sawah Besar,2/2/23,110.4454444,-6.97284549
462311.96,9227189.65,Flood,Kelurahan Rejomulyo,2/2/23,110.4349082,-6.96340252
467006.18,9227011,Flood,Kelurahan Genuksari,2/2/23,110.4749803,-6.961639038
465496.06,9228126.96,Flood,Depan RSI Sultan Agung,2/2/23,110.461665,-6.95606429
464390.43,9228015.68,Flood,Bawah tol kaligawe,2/2/23,110.451597,-6.957047279
465055.25,9226325.75,Flood,Dempel  Kelurahan Muktiharjo Kidul,2/2/23,110.4577699,-6.972552638
464206.17,9225873.34,Flood,Karangingas Kelurahan Muktiharjo Kidul,2/2/23,110.4515971,-6.976633442
462642.48,9206173.2,Flood,Perumahan Pondok Jangli Indah RT 8 RW 1,2/2/23,110.4366172,-7.038324696
466750.6,9215889.37,Flood,Dinar Indah blok7 RT 06 RW 26 Meteseh Tembalang,1/31/23,110.4686475,-7.065159063
467640.45,9215970.61,Flood,Rowosari Tembalang,1/31/23,110.4786111,-7.06194444
466750.6,9215889.37,Flood,Jl. Cluster Dinar Indah Blok 7 RT06 /26 Kel. Meteseh Kec. Tembalang Kota Semarang,12/2/20,110.4686475,-7.065159063
463770.21,9221032.54,Flood,Jl. Kaba Raya Kel. Tandang Kec. Tembalang,12/18/20,110.4442453,-7.018138454
450560.83,9225587.21,Flood,Kel. Wonosari Kulon RT01/03 kec. Ngaliyan Kota Semarang,1/8/21,110.317111,-6.980602989
448349.53,9226716.48,Flood,Mangkang kulon RT01/03 Kec. Tugu Kota Semarang,1/8/21,110.2987967,-6.96819596
466750.6,9215889.37,Flood,Jl. Cluster Dinar Indah Blok 7 RT06 /26 Kel. Meteseh Kec. Tembalang Kota Semarang,1/17/21,110.4686475,-7.065159063
464312.42,9225535.15,Flood,Jl. Soekarno – Hatta (bawah terowongan tol),2/18/22,110.4509639,-6.97921222
459796.64,9223382.72,Flood,Jl. Kintelan Baru,2/18/22,110.4090205,-6.999852179
450336.56,9226113.68,Flood,Jl. Walisongo (depan Kelurahan Wonosari) s.d Pabrik Sango,2/18/22,110.3143786,-6.973879162
449343.89,9226011.66,Flood,"Kel. Wonosari Kec. Ngaliyan (Rt 03, 05, 06 Rw 07)",2/18/22,110.3071918,-6.97388054
449363.87,9226174.52,Flood,Kel. Wonosari Kec. Ngaliyan(Rt 01 s/d 06 Rw 05 serta Rt 02 s/d 04 Rw 06),2/18/22,110.3038472,-6.976071146
449444.64,9226334.8,Flood,Kel. Mangkang Wetan Kec. Tugu Kota Semarang,2/18/22,110.3140448,-6.965731877
448349.53,9226494.67,Flood,"Kel. Mangkang Kulon Kec. Tugu Kota Semarang (Rt 01 s/d 07 Rw 01 dan Rt 01, 02 Rw 02)",2/18/22,110.3003349,-6.962677381
450211.59,9228154.55,Flood,"Kel. Mangunharjo Kec. Tugu Kota Semarang (Rt 04, 05 Rw 05)(Rt 01, 02, 03 Rw 01 dan Rt 01 s/d 06 Rw 04)",2/18/22,110.309663,-6.956076152
